community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id,year,total_population
Nuiqsut,1416680,56320,North Slope Borough,1419978,99185,185,0,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986.",Arctic Slope Regional Corporation,70.2175000,-150.9763889,North Slope,c8bdb2ef-7075-4eab-9adc-743057baad86,2004,436
Point MacKenzie,1865561,61788,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.3597222,-149.9783333,Railbelt,106a3ade-3596-43c7-a084-a06e38c71b98,2004,321
Sleetmute,1409747,71090,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,61.7025000,-157.1697222,Lower Yukon-Kuskokwim,5c9f92a9-ee75-48c0-b533-22fbedfa4289,2004,82
Funny River,1865552,27145,Kenai Peninsula Borough,1419972,99122,122,0,,,60.5019444,-150.7622222,Railbelt,d8d2a0ab-2a59-4747-90c2-46b369598383,2004,747
Petersburg,1424228,60310,Petersburg Census Area,2516404,99195,195,0,"Created from the remainder of the former Wrangell-Petersburg Census Area (02-280) when the new Wrangell City and Borough was created effective June 1, 2008; estimated population: 4,260. Created from part of former Petersburg Census Area (02-195) and part of Hoonah-Angoon Census Area (02-105) effective January 3, 2013; estimated population 3,203.",,56.8112667,-132.9512425,Southeast,fb79d9b5-9c46-4f7b-b140-2487865ca0c4,2004,3187
Dot Lake,1401364,19720,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.","Doyon, Limited",63.6613889,-144.0644444,Yukon-Koyukuk/Upper Tanana,695836fe-f34a-4aed-aaaf-57bcdf103bfb,2004,20
Hooper Bay,1403493,33470,Kusilvak Census Area,1419985,99270,158,0,"Formerly known as the Wade Hampton Census Area, FIPS code 270",Calista Corporation,61.5311111,-166.0966667,Lower Yukon-Kuskokwim,931e232d-fbe2-4411-aa2b-0c2516e5af1b,2004,1080
Buffalo Soapstone,2418798,9657,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.7162325,-149.0999900,Railbelt,4c88c1e9-ffe3-4b99-9a0d-9f489300d2af,2004,806
Chuathbaluk,1400376,14330,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,61.5719444,-159.2450000,Lower Yukon-Kuskokwim,1a3ce5fe-fd09-4fd4-a31e-df8e509e99bb,2004,109
McCarthy,1406098,45790,Valdez-Cordova Census Area,1419984,99261,261,0,,,61.4333333,-142.9216667,,f59d9a30-01ca-4a12-941c-ad822f747fd0,2004,54
